solution_no,insert_time,select_time,total_memory
4869,2.0,1.3333333333333333,528.0
4867,2.0,1.6666666666666667,496.0
4865,2.3333333333333335,1.6666666666666667,560.0
4863,2.6666666666666665,2.0,528.0
4862,2.3333333333333335,2.0,528.0
4860,2.3333333333333335,1.3333333333333333,544.0
4856,2.0,2.0,528.0
4854,2.3333333333333335,1.6666666666666667,496.0
4851,2.0,1.3333333333333333,528.0
4849,2.6666666666666665,1.3333333333333333,496.0
4848,2.3333333333333335,1.3333333333333333,496.0
4846,2.3333333333333335,1.6666666666666667,592.0
4844,2.0,1.6666666666666667,560.0
4842,2.0,1.3333333333333333,560.0
4840,2.3333333333333335,2.0,528.0
4838,2.3333333333333335,1.3333333333333333,528.0
4836,1.6666666666666667,1.0,496.0
4834,2.3333333333333335,1.6666666666666667,560.0
4832,2.0,1.3333333333333333,528.0
4831,2.0,2.0,528.0
4830,2.0,1.3333333333333333,512.0
4828,2.0,1.3333333333333333,592.0
4826,2.0,1.6666666666666667,560.0
4824,2.3333333333333335,1.3333333333333333,560.0
4821,2.3333333333333335,1.3333333333333333,528.0
4819,2.0,1.6666666666666667,496.0
4817,2.3333333333333335,1.0,560.0
4815,2.6666666666666665,1.6666666666666667,528.0
4814,3.0,1.6666666666666667,528.0
4812,2.0,1.6666666666666667,560.0
4810,1.3333333333333333,1.6666666666666667,528.0
4807,2.0,1.3333333333333333,496.0
4806,2.0,2.0,528.0
4804,2.0,1.3333333333333333,496.0
4801,1.6666666666666667,1.6666666666666667,528.0
4799,1.6666666666666667,1.6666666666666667,496.0
4797,2.6666666666666665,1.6666666666666667,512.0
4795,1.3333333333333333,1.6666666666666667,528.0
4791,1.6666666666666667,1.3333333333333333,496.0
4789,2.0,1.6666666666666667,496.0
4787,2.3333333333333335,1.6666666666666667,560.0
4785,2.3333333333333335,1.0,528.0
4782,2.6666666666666665,1.3333333333333333,496.0
4781,2.0,1.6666666666666667,528.0
4779,2.6666666666666665,1.0,496.0
4777,1.6666666666666667,2.0,464.0
4775,2.0,1.6666666666666667,528.0
4773,2.3333333333333335,1.0,496.0
4772,2.0,1.6666666666666667,496.0
4770,2.0,2.0,592.0
4767,1.6666666666666667,1.6666666666666667,624.0
4766,2.0,2.0,592.0
4764,1.6666666666666667,1.6666666666666667,560.0
4760,3.0,1.6666666666666667,592.0
4759,3.0,2.0,560.0
4756,2.0,1.6666666666666667,528.0
4753,1.3333333333333333,2.0,560.0
4752,2.0,1.6666666666666667,528.0
4750,2.0,1.0,496.0
4748,2.0,1.3333333333333333,560.0
4745,2.3333333333333335,1.3333333333333333,592.0
4744,2.0,1.3333333333333333,560.0
4742,2.0,1.0,528.0
4741,2.3333333333333335,1.6666666666666667,560.0
4739,2.0,1.0,624.0
4736,2.3333333333333335,1.3333333333333333,592.0
4734,2.0,1.6666666666666667,560.0
4732,1.6666666666666667,1.3333333333333333,560.0
4730,2.3333333333333335,1.6666666666666667,528.0
4728,1.6666666666666667,2.0,592.0
4726,1.6666666666666667,1.6666666666666667,560.0
4725,2.3333333333333335,1.6666666666666667,592.0
4723,2.0,1.3333333333333333,592.0
4721,2.3333333333333335,1.3333333333333333,560.0
4719,2.6666666666666665,1.6666666666666667,560.0
